PRODID,PRODNAME,PRICE,COLOR,BRAND,OFFER,CATEGORY,TYPE,frame size,frame width,frame dimensions,MANUFACTURED,marketed by
ASunGlaSs0001black,Dervin Golden-Black UV Protection Octagonal Sunglasses,599,Black,John Jacobs,6,Accessories,Sunglasses,Medium,135 mm,55-16-145,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0002black,UV Protection Retro Square Sunglasses,999,Black,Vincent Chase,10,Accessories,Sunglasses,Medium,130 mm,55-16-145,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0003pink,Gold Full Rim Cat Eye Sunglasses,899,Pink,Vincent Chase,5,Accessories,Sunglasses,Medium,138 mm,51-19-140,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0004grey,Grey Transparent Full Rim Aviator Sunglasses,1200,Grey,Vincent Chase,10,Accessories,Sunglasses,Wide,143 mm,52-18-149,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0005blue,Silver Full Rim Round Sunglasses,999,Blue,Vincent Chase,12,Accessories,Sunglasses,Narrow,136 mm,50-20-145,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0006pink,Gold Full Rim Round Sunglasses,1200,Pink,John Jacobs,10,Accessories,Sunglasses,Medium,136 mm,53-18-143,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0007green,Silver Full Rim Round Sunglasses,1700,Green,Vincent Chase,10,Accessories,Sunglasses,Narrow,136 mm,50-20-145,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0008transparent,Transparent Full Rim Square Eyeglasses,600,Transparent,Hooper,5,Accessories,Sunglasses,Medium,123 mm,48-15-135,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0009pink,Gold Pink Full Rim Round Sunglasses,1700,Pink,Vincent Chase,10,Accessories,Sunglasses,Medium,130 mm,51-19-140,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0010brown,Dual Tone Full Rim Square Sunglasses,1200,Brown,Vincent Chase,5,Accessories,Sunglasses,Medium,141 mm,61-11-140,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0011black,Grey Transparent Full Rim Square Sunglasses,1200,Black,Vincent Chase,10,Accessories,Sunglasses,Wide,143 mm,53-22-140,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0012green,Gold Full Rim Round Sunglasses,1700,Green,Vincent Chase,12,Accessories,Sunglasses,Narrow,136 mm,50-20-145,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0013brown,Grey Transparent Full Rim Rectangle Sunglasses,1300,Brown,John Jacobs,5,Accessories,Sunglasses,Wide,141 mm,54-18-147,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0014yellow,Transparent Full Rim Cat Eye Sunglasses,1400,Yellow,John Jacobs,7,Accessories,Sunglasses,Extra Wide,141 mm, 54-18-147,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."
ASunGlaSs0015brown,Gold Tortoise Full Rim Rectangle Sunglasses,1999,Brown,John Jacobs,15,Accessories,Sunglasses,Extra Wide,144 mm,58-14-140,"KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034.","KORAMANGALA - BENGALURU No. 36, 6th Block, 100 ft Road, Koramangala, Bengaluru - 560034."